Freq [GHz],0MG,50MG,100MG,150MG,200MG,250MG,300MG,350MG,400MG,450MG,500MG,550MG,600MG,650MG,700MG,750MG,800MG,850MG,900MG,950MG,1000MG
1.2,-14.77818396,-14.75849486,-14.73706052,-14.73329708,-14.73107989,-14.72984623,-14.72934543,-14.72934543,-14.72934543,-14.72934543,-14.72934543,-14.72934543,-14.72934543,-14.72934543,-14.72934543,-14.72934543,-14.72934543,-14.72934543,-14.72934543,-14.72934543,-14.72934543
1.206,-14.77946676,-14.75809679,-14.7349489,-14.73049766,-14.72956506,-14.72726913,-14.72672744,-14.72672744,-14.72672744,-14.72672744,-14.72672744,-14.72672744,-14.72672744,-14.72672744,-14.72672744,-14.72672744,-14.72672744,-14.72672744,-14.72672744,-14.72672744,-14.72672744
1.212,-14.78159947,-14.75840637,-14.73350341,-14.72842008,-14.72851774,-14.72530723,-14.7247212,-14.7247212,-14.7247212,-14.7247212,-14.7247212,-14.7247212,-14.7247212,-14.7247212,-14.7247212,-14.7247212,-14.7247212,-14.7247212,-14.7247212,-14.7247212,-14.7247212
1.218,-14.78460547,-14.7594392,-14.73273419,-14.72706493,-14.72795366,-14.72396719,-14.72333322,-14.72333322,-14.72333322,-14.72333322,-14.72333322,-14.72333322,-14.72333322,-14.72333322,-14.72333322,-14.72333322,-14.72333322,-14.72333322,-14.72333322,-14.72333322,-14.72333322
1.224,-14.7885098,-14.76121208,-14.73265144,-14.72643316,-14.72788918,-14.72325614,-14.72257045,-14.72257045,-14.72257045,-14.72257045,-14.72257045,-14.72257045,-14.72257045,-14.72257045,-14.72257045,-14.72257045,-14.72257045,-14.72257045,-14.72257045,-14.72257045,-14.72257045
1.23,-14.79333923,-14.76374307,-14.73326552,-14.7265261,-14.72834127,-14.72318168,-14.72244031,-14.72244031,-14.72244031,-14.72244031,-14.72244031,-14.72244031,-14.72244031,-14.72244031,-14.72244031,-14.72244031,-14.72244031,-14.72244031,-14.72244031,-14.72244031,-14.72244031
1.236,-14.79912239,-14.76705161,-14.73458698,-14.72734554,-14.7293276,-14.72375193,-14.72295072,-14.72295072,-14.72295072,-14.72295072,-14.72295072,-14.72295072,-14.72295072,-14.72295072,-14.72295072,-14.72295072,-14.72295072,-14.72295072,-14.72295072,-14.72295072,-14.72295072
1.242,-14.80588992,-14.77115858,-14.73662666,-14.72889375,-14.73086659,-14.72497556,-14.72411011,-14.72411011,-14.72411011,-14.72411011,-14.72411011,-14.72411011,-14.72411011,-14.72411011,-14.72411011,-14.72411011,-14.72411011,-14.72411011,-14.72411011,-14.72411011,-14.72411011
1.248,-14.81367457,-14.7760864,-14.73939579,-14.73117362,-14.7329774,-14.72686188,-14.72592753,-14.72592753,-14.72592753,-14.72592753,-14.72592753,-14.72592753,-14.72592753,-14.72592753,-14.72592753,-14.72592753,-14.72592753,-14.72592753,-14.72592753,-14.72592753,-14.72592753
1.254,-14.82251137,-14.78185915,-14.74290605,-14.73418869,-14.73568004,-14.72942084,-14.72841266,-14.72841266,-14.72841266,-14.72841266,-14.72841266,-14.72841266,-14.72841266,-14.72841266,-14.72841266,-14.72841266,-14.72841266,-14.72841266,-14.72841266,-14.72841266,-14.72841266
1.26,-14.83243775,-14.78850269,-14.74716978,-14.73794326,-14.73899542,-14.73266312,-14.73157585,-14.73157585,-14.73157585,-14.73157585,-14.73157585,-14.73157585,-14.73157585,-14.73157585,-14.73157585,-14.73157585,-14.73157585,-14.73157585,-14.73157585,-14.73157585,-14.73157585
1.266,-14.84349373,-14.79604477,-14.75220006,-14.74244252,-14.74294537,-14.7366002,-14.73542824,-14.73542824,-14.73542824,-14.73542824,-14.73542824,-14.73542824,-14.73542824,-14.73542824,-14.73542824,-14.73542824,-14.73542824,-14.73542824,-14.73542824,-14.73542824,-14.73542824
1.272,-14.85572211,-14.80451515,-14.75801088,-14.74769264,-14.74755276,-14.74124439,-14.73998177,-14.73998177,-14.73998177,-14.73998177,-14.73998177,-14.73998177,-14.73998177,-14.73998177,-14.73998177,-14.73998177,-14.73998177,-14.73998177,-14.73998177,-14.73998177,-14.73998177
1.278,-14.86916858,-14.81394579,-14.76461736,-14.75370091,-14.75284153,-14.74660899,-14.7452493,-14.7452493,-14.7452493,-14.7452493,-14.7452493,-14.7452493,-14.7452493,-14.7452493,-14.7452493,-14.7452493,-14.7452493,-14.7452493,-14.7452493,-14.7452493,-14.7452493
1.284,-14.88388202,-14.82437096,-14.77203593,-14.76047591,-14.7588368,-14.7527083,-14.75124468,-14.75124468,-14.75124468,-14.75124468,-14.75124468,-14.75124468,-14.75124468,-14.75124468,-14.75124468,-14.75124468,-14.75124468,-14.75124468,-14.75124468,-14.75124468,-14.75124468
1.29,-14.89991463,-14.83582746,-14.78028455,-14.76802765,-14.76556493,-14.75955779,-14.75798287,-14.75798287,-14.75798287,-14.75798287,-14.75798287,-14.75798287,-14.75798287,-14.75798287,-14.75798287,-14.75798287,-14.75798287,-14.75798287,-14.75798287,-14.75798287,-14.75798287
1.296,-14.9173222,-14.84835476,-14.789383,-14.77636778,-14.77305365,-14.76717416,-14.76548001,-14.76548001,-14.76548001,-14.76548001,-14.76548001,-14.76548001,-14.76548001,-14.76548001,-14.76548001,-14.76548001,-14.76548001,-14.76548001,-14.76548001,-14.76548001,-14.76548001
1.302,-14.9361643,-14.86199524,-14.79935311,-14.7855098,-14.78133213,-14.77557552,-14.7737536,-14.7737536,-14.7737536,-14.7737536,-14.7737536,-14.7737536,-14.7737536,-14.7737536,-14.7737536,-14.7737536,-14.7737536,-14.7737536,-14.7737536,-14.7737536,-14.7737536
1.308,-14.95650457,-14.87679437,-14.81021905,-14.79546927,-14.79043109,-14.7847815,-14.78282259,-14.78282259,-14.78282259,-14.78282259,-14.78282259,-14.78282259,-14.78282259,-14.78282259,-14.78282259,-14.78282259,-14.78282259,-14.78282259,-14.78282259,-14.78282259,-14.78282259
1.314,-14.97841098,-14.89280101,-14.82200772,-14.80626411,-14.80038298,-14.79481343,-14.7927076,-14.7927076,-14.7927076,-14.7927076,-14.7927076,-14.7927076,-14.7927076,-14.7927076,-14.7927076,-14.7927076,-14.7927076,-14.7927076,-14.7927076,-14.7927076,-14.7927076
1.32,-15.00195608,-14.9100676,-14.83474899,-14.81791486,-14.81122203,-14.80569454,-14.80343102,-14.80343102,-14.80343102,-14.80343102,-14.80343102,-14.80343102,-14.80343102,-14.80343102,-14.80343102,-14.80343102,-14.80343102,-14.80343102,-14.80343102,-14.80343102,-14.80343102
1.326,-15.02721729,-14.92865049,-14.84847616,-14.83044502,-14.8229845,-14.81745012,-14.81501728,-14.81501728,-14.81501728,-14.81501728,-14.81501728,-14.81501728,-14.81501728,-14.81501728,-14.81501728,-14.81501728,-14.81501728,-14.81501728,-14.81501728,-14.81501728,-14.81501728
1.332,-15.05427722,-14.94861022,-14.86322629,-14.84388138,-14.83570875,-14.8301078,-14.82749304,-14.82749304,-14.82749304,-14.82749304,-14.82749304,-14.82749304,-14.82749304,-14.82749304,-14.82749304,-14.82749304,-14.82749304,-14.82749304,-14.82749304,-14.82749304,-14.82749304
1.338,-15.08322395,-14.97001187,-14.87904065,-14.85825446,-14.84943551,-14.84369781,-14.84088748,-14.84088748,-14.84088748,-14.84088748,-14.84088748,-14.84088748,-14.84088748,-14.84088748,-14.84088748,-14.84088748,-14.84088748,-14.84088748,-14.84088748,-14.84088748,-14.84088748
1.344,-15.11415138,-14.9929254,-14.89596513,-14.87359892,-14.86420802,-14.85825323,-14.85523252,-14.85523252,-14.85523252,-14.85523252,-14.85523252,-14.85523252,-14.85523252,-14.85523252,-14.85523252,-14.85523252,-14.85523252,-14.85523252,-14.85523252,-14.85523252,-14.85523252
1.35,-15.1471595,-15.01742608,-14.91405073,-14.88995401,-14.88007229,-14.87381039,-14.87056324,-14.87056324,-14.87056324,-14.87056324,-14.87056324,-14.87056324,-14.87056324,-14.87056324,-14.87056324,-14.87056324,-14.87056324,-14.87056324,-14.87056324,-14.87056324,-14.87056324
1.356,-15.18235478,-15.04359486,-14.93335402,-14.90736417,-14.89707735,-14.8904092,-14.88691816,-14.88691816,-14.88691816,-14.88691816,-14.88691816,-14.88691816,-14.88691816,-14.88691816,-14.88691816,-14.88691816,-14.88691816,-14.88691816,-14.88691816,-14.88691816,-14.88691816
1.362,-15.21985042,-15.07151888,-14.9539377,-14.92587953,-14.91527553,-14.90809357,-14.90433971,-14.90433971,-14.90433971,-14.90433971,-14.90433971,-14.90433971,-14.90433971,-14.90433971,-14.90433971,-14.90433971,-14.90433971,-14.90433971,-14.90433971,-14.90433971,-14.90433971
1.368,-15.25976669,-15.10129193,-14.97587111,-14.94555659,-14.93472276,-14.92691194,-14.92287467,-14.92287467,-14.92287467,-14.92287467,-14.92287467,-14.92287467,-14.92287467,-14.92287467,-14.92287467,-14.92287467,-14.92287467,-14.92287467,-14.92287467,-14.92287467,-14.92287467
1.374,-15.30223122,-15.13301504,-14.99923082,-14.96645891,-14.95547894,-14.94691774,-14.94257471,-14.94257471,-14.94257471,-14.94257471,-14.94257471,-14.94257471,-14.94257471,-14.94257471,-14.94257471,-14.94257471,-14.94257471,-14.94257471,-14.94257471,-14.94257471,-14.94257471
1.38,-15.34737927,-15.16679701,-15.02410126,-14.98865784,-14.97760833,-14.96817007,-14.963497,-14.963497,-14.963497,-14.963497,-14.963497,-14.963497,-14.963497,-14.963497,-14.963497,-14.963497,-14.963497,-14.963497,-14.963497,-14.963497,-14.963497
1.386,-15.39535394,-15.20275505,-15.05057537,-15.01223334,-15.00117999,-14.99073435,-14.98570482,-14.98570482,-14.98570482,-14.98570482,-14.98570482,-14.98570482,-14.98570482,-14.98570482,-14.98570482,-14.98570482,-14.98570482,-14.98570482,-14.98570482,-14.98570482,-14.98570482
1.392,-15.44630634,-15.24101548,-15.07875529,-15.03727486,-15.02626828,-15.0146831,-15.00926841,-15.00926841,-15.00926841,-15.00926841,-15.00926841,-15.00926841,-15.00926841,-15.00926841,-15.00926841,-15.00926841,-15.00926841,-15.00926841,-15.00926841,-15.00926841,-15.00926841
1.398,-15.50039568,-15.28171444,-15.10875315,-15.0638823,-15.05295342,-15.04009678,-15.03426576,-15.03426576,-15.03426576,-15.03426576,-15.03426576,-15.03426576,-15.03426576,-15.03426576,-15.03426576,-15.03426576,-15.03426576,-15.03426576,-15.03426576,-15.03426576,-15.03426576
1.404,-15.55778929,-15.32499866,-15.14069187,-15.09216706,-15.08132217,-15.06706485,-15.0607836,-15.0607836,-15.0607836,-15.0607836,-15.0607836,-15.0607836,-15.0607836,-15.0607836,-15.0607836,-15.0607836,-15.0607836,-15.0607836,-15.0607836,-15.0607836,-15.0607836
1.41,-15.6186625,-15.37102628,-15.17470604,-15.12225308,-15.1114685,-15.09568677,-15.08891849,-15.08891849,-15.08891849,-15.08891849,-15.08891849,-15.08891849,-15.08891849,-15.08891849,-15.08891849,-15.08891849,-15.08891849,-15.08891849,-15.08891849,-15.08891849,-15.08891849
1.416,-15.68319834,-15.41996773,-15.21094294,-15.15427808,-15.14349447,-15.12607333,-15.11877803,-15.11877803,-15.11877803,-15.11877803,-15.11877803,-15.11877803,-15.11877803,-15.11877803,-15.11877803,-15.11877803,-15.11877803,-15.11877803,-15.11877803,-15.11877803,-15.11877803
1.422,-15.7515871,-15.47200663,-15.24956358,-15.18839476,-15.17751117,-15.158348,-15.1504823,-15.1504823,-15.1504823,-15.1504823,-15.1504823,-15.1504823,-15.1504823,-15.1504823,-15.1504823,-15.1504823,-15.1504823,-15.1504823,-15.1504823,-15.1504823,-15.1504823
1.428,-15.82402562,-15.52734077,-15.29074391,-15.22477223,-15.21363981,-15.19264852,-15.18416534,-15.18416534,-15.18416534,-15.18416534,-15.18416534,-15.18416534,-15.18416534,-15.18416534,-15.18416534,-15.18416534,-15.18416534,-15.18416534,-15.18416534,-15.18416534,-15.18416534
1.434,-15.90071629,-15.58618305,-15.33467612,-15.26359735,-15.25201296,-15.22912864,-15.21997695,-15.21997695,-15.21997695,-15.21997695,-15.21997695,-15.21997695,-15.21997695,-15.21997695,-15.21997695,-15.21997695,-15.21997695,-15.21997695,-15.21997695,-15.21997695,-15.21997695
1.44,-15.98186574,-15.64876247,-15.3815701,-15.3050763,-15.29277608,-15.26796013,-15.25808465,-15.25808465,-15.25808465,-15.25808465,-15.25808465,-15.25808465,-15.25808465,-15.25808465,-15.25808465,-15.25808465,-15.25808465,-15.25808465,-15.25808465,-15.25808465,-15.25808465
1.446,-16.06768304,-15.71532516,-15.43165512,-15.34943617,-15.33608912,-15.30933496,-15.29867587,-15.29867587,-15.29867587,-15.29867587,-15.29867587,-15.29867587,-15.29867587,-15.29867587,-15.29867587,-15.29867587,-15.29867587,-15.29867587,-15.29867587,-15.29867587,-15.29867587
1.452,-16.15837752,-15.78613525,-15.48518159,-15.39692669,-15.38212856,-15.3534678,-15.34196042,-15.34196042,-15.34196042,-15.34196042,-15.34196042,-15.34196042,-15.34196042,-15.34196042,-15.341960420000001,-15.341960420000001,-15.341960420000001,-15.341960420000001,-15.341960420000001,-15.341960420000001,-15.341960420000001
1.458,-16.25415587,-15.8614758,-15.54242318,-15.44782202,-15.4310897,-15.40059876,-15.38817327,-15.38817327,-15.38817327,-15.388173270000005,-15.388173270000005,-15.388173270000006,-15.388173270000006,-15.388173270000008,-15.38817327000001,-15.38817327000001,-15.388173270000012,-15.388173270000014,-15.388173270000014,-15.388173270000015,-15.388173270000017
1.464,-16.35521871,-15.94164952,-15.60367903,-15.50242265,-15.48318937,-15.45099644,-15.43757757,-15.437577570000007,-15.437577570000013,-15.43757757000002,-15.437577570000023,-15.43757757000003,-15.437577570000037,-15.437577570000043,-15.43757757000005,-15.437577570000055,-15.43757757000006,-15.437577570000068,-15.437577570000073,-15.43757757000008,-15.437577570000085
1.47,-16.4617563,-16.02697932,-15.6692764,-15.56105752,-15.53866915,-15.50496136,-15.49046812,-15.490468120000031,-15.490468120000063,-15.490468120000092,-15.490468120000124,-15.49046812000016,-15.490468120000193,-15.490468120000223,-15.490468120000255,-15.490468120000285,-15.490468120000317,-15.490468120000347,-15.490468120000378,-15.49046812000041,-15.49046812000044
1.476,-16.57394343,-16.11780858,-15.73957343,-15.62408611,-15.59779916,-15.5628297,-15.54717513,-15.547175130000154,-15.547175130000308,-15.54717513000046,-15.547175130000614,-15.547175130000799,-15.547175130000948,-15.547175130001099,-15.54717513000125,-15.5471751300014,-15.54717513000155,-15.5471751300017,-15.54717513000185,-15.547175130002001,-15.54717513000215
